Issue Date
Flags:  0=Forecast, 1=Estimated, 2=Observed

Date_Time                   F10          Kp     F10Flag      KpFlag  F10_41dAvg   24HrKpAvg    NHemiPow NHemiPowIdx    SHemiPow SHemiPowIdx       SW_Bt    SW_Angle SW_Velocity       SW_Bz      SW_Den
2013-03-16T16:49:00Z 124.8000000   1.5352556           2           1 112.1505882   2.6597356  75.4570000          -1  75.4570000          -1   5.6962970 135.5672664 464.7000000  -3.5700000   4.0300000
2013-03-16T16:50:00Z 124.8000000   1.5371111           2           1 112.1505882   2.6617111  75.0490000          -1  75.0490000          -1   5.7486346 138.3477488 468.5000000  -3.8000000   3.5500000
2013-03-16T16:51:00Z 124.8000000   1.5389667           2           1 112.1505882   2.6636867  72.4990000          -1  72.4990000          -1   5.1656655 143.9726266 468.7000000  -3.0800000   3.5700000
2013-03-16T16:52:00Z 124.8000000   1.5408222           2           1 112.1505882   2.6656622  73.4170000          -1  73.4170000          -1   5.2439394 131.4964684 482.7000000  -3.2200000   4.1000000
2013-03-16T16:53:00Z 124.8000000   1.5426778           2           1 112.1505882   2.6676378  74.4370000          -1  74.4370000          -1   5.5694165 137.1080953       468.0  -3.3800000   4.0400000
2013-03-16T16:54:00Z 124.8000000   1.5445333           2           1 112.1505882   2.6696133  74.4370000          -1  74.4370000          -1   5.5152969 141.0687417 470.8000000  -3.5900000   3.6300000
2013-03-16T16:55:00Z 124.8000000   1.5463889           2           1 112.1505882   2.6715889  77.2930000          -1  77.2930000          -1   5.0405654 144.1104075 471.9000000  -3.2200000   3.6600000
2013-03-16T16:56:00Z 124.8000000   1.5482444           2           1 112.1505882   2.6735644  79.1290000          -1  79.1290000          -1   5.6276638 141.1363590 472.2000000  -3.7600000   3.6500000
2013-03-16T16:57:00Z 124.8000000   1.5501000           2           1 112.1505882   2.6755400  80.1490000          -1  80.1490000          -1   5.9893071 171.3843518 472.2000000  -0.3300000   3.6500000
2013-03-16T16:58:00Z 124.8000000   1.5519556           2           1 112.1505882   2.6775156  83.6170000          -1  83.6170000          -1   5.9788042 162.8972710 438.6000000  -0.6500000   4.6900000
2013-03-16T16:59:00Z 124.8000000   1.5538111           2           1 112.1505882   2.6794911  83.1070000          -1  83.1070000          -1   6.0308374 131.9581578 438.6000000  -0.9800000   4.6900000
2013-03-16T17:00:00Z 124.8000000   1.5556667           2           1 112.1505882   2.6814667  83.9230000          -1  83.9230000          -1   6.0153554 130.2954871 438.6000000  -1.8400000   4.6900000
2013-03-16T17:01:00Z 124.8000000   1.5575222           2           1 112.1505882   2.6834422  90.6550000          -1  90.6550000          -1   6.0499091 140.9553582 438.6000000  -3.0700000   4.6900000
2013-03-16T17:02:00Z 124.8000000   1.5593778           2           1 112.1505882   2.6854178  91.0630000          -1  91.0630000          -1   5.9781853 133.0193791 438.6000000  -3.3500000   4.6900000
2013-03-16T17:03:00Z 124.8000000   1.5612333           2           1 112.1505882   2.6873933  95.1430000          -1  95.1430000          -1   5.9133916 125.5511243 438.6000000  -2.8800000   4.6900000
2013-03-16T17:04:00Z 124.8000000   1.5630889           2           1 112.1505882   2.6893689  96.9790000          -1  96.9790000          -1   5.8920709 134.7214166 438.6000000  -3.0700000   4.6900000
2013-03-16T17:05:00Z 124.8000000   1.5649444           2           1 112.1505882   2.6913444  94.7350000          -1  94.7350000          -1   6.0512065 138.9755537 438.6000000  -2.7700000   4.6900000
2013-03-16T17:06:00Z 124.8000000   1.5668000           2           1 112.1505882   2.6933200  90.0430000          -1  90.0430000          -1   6.0389486 136.7498360 449.8000000  -2.5300000   4.3800000
2013-03-16T17:07:00Z 124.8000000   1.5686556           2           1 112.1505882   2.6952956  85.4530000          -1  85.4530000          -1   5.9745460 138.3930111 449.8000000  -2.6800000   4.3800000
2013-03-16T17:08:00Z 124.8000000   1.5705111           2           1 112.1505882   2.6972711  81.4750000          -1  81.4750000          -1   5.9461164 137.3959155 449.8000000  -2.4900000   4.3800000
2013-03-16T17:09:00Z 124.8000000   1.5723667           2           1 112.1505882   2.6992467  79.9450000          -1  79.9450000          -1   5.8891595 136.8550853 449.8000000  -2.5500000   4.3800000
2013-03-16T17:10:00Z 124.8000000   1.5742222           2           1 112.1505882   2.7012222  80.4550000          -1  80.4550000          -1   5.9227443 138.9962065 449.8000000  -2.6800000   4.3800000
2013-03-16T17:11:00Z 124.8000000   1.5760778           2           1 112.1505882   2.7031978  81.0670000          -1  81.0670000          -1   5.8826355 138.5624546 450.7000000  -2.7300000   4.2900000
2013-03-16T17:12:00Z 124.8000000   1.5779333           2           1 112.1505882   2.7051733  82.9030000          -1  82.9030000          -1   5.8912902 138.8140748 450.7000000  -2.5600000   4.2900000
2013-03-16T17:13:00Z 124.8000000   1.5797889           2           1 112.1505882   2.7071489  84.6370000          -1  84.6370000          -1   5.9503445 147.4567376 450.7000000  -2.5700000   4.2900000
2013-03-16T17:14:00Z 124.8000000   1.5816444           2           1 112.1505882   2.7091244  85.6570000          -1  85.6570000          -1   5.9509075 148.1092082 450.7000000  -2.7000000   4.2900000
2013-03-16T17:15:00Z 124.8000000   1.5835000           2           1 112.1505882   2.7111000  83.5150000          -1  83.5150000          -1   5.8813944 148.2528495 453.5000000  -3.2000000   5.2000000
2013-03-16T17:16:00Z 124.8000000   1.5853556           2           1 112.1505882   2.7130756  79.9450000          -1  79.9450000          -1   5.9026350 149.7543266 453.5000000  -3.3100000   5.2000000
2013-03-16T17:17:00Z 124.8000000   1.5872111           2           1 112.1505882   2.7150511  75.3550000          -1  75.3550000          -1   5.8735849 151.4768814 453.5000000  -3.2200000   5.2000000
2013-03-16T17:18:00Z 124.8000000   1.5890667           2           1 112.1505882   2.7170267  70.5610000          -1  70.5610000          -1   5.8344580 152.5924246 453.5000000  -2.9700000   5.2000000
2013-03-16T17:19:00Z 124.8000000   1.5909222           2           1 112.1505882   2.7190022  68.7250000          -1  68.7250000          -1   6.0545190 150.2163267 453.5000000  -3.1800000   5.2000000
2013-03-16T17:20:00Z 124.8000000   1.5927778           2           1 112.1505882   2.7209778  67.2970000          -1  67.2970000          -1   6.0304395 166.8235812 447.4000000  -2.9900000   4.1900000
2013-03-16T17:21:00Z 124.8000000   1.5946333           2           1 112.1505882   2.7229533  66.2770000          -1  66.2770000          -1   5.9603523 163.1492468 447.4000000  -2.0800000   4.1900000
2013-03-16T17:22:00Z 124.8000000   1.5964889           2           1 112.1505882   2.7249289  64.5430000          -1  64.5430000          -1   5.9174403 169.3803447 447.4000000  -1.7600000   4.1900000
2013-03-16T17:23:00Z 124.8000000   1.5983444           2           1 112.1505882   2.7269044  66.9910000          -1  66.9910000          -1   5.9162404 169.6583547 447.4000000  -1.3700000   4.1900000
2013-03-16T17:24:00Z 124.8000000   1.6002000           2           1 112.1505882   2.7288800  66.8890000          -1  66.8890000          -1   5.9354697 168.4980154 447.4000000  -1.7200000   4.1900000
2013-03-16T17:25:00Z 124.8000000   1.6020556           2           1 112.1505882   2.7308556  61.8910000          -1  61.8910000          -1   5.9342565 190.1866298 447.4000000  -1.2800000   4.1900000
2013-03-16T17:26:00Z 124.8000000   1.6039111           2           1 112.1505882   2.7328311  60.9730000          -1  60.9730000          -1   5.9003474 190.8564133 438.6000000  -1.4600000   4.4800000
2013-03-16T17:27:00Z 124.8000000   1.6057667           2           1 112.1505882   2.7348067  58.8310000          -1  58.8310000          -1   5.8767593 183.4777865 438.6000000  -1.8100000   4.4800000
2013-03-16T17:28:00Z 124.8000000   1.6076222           2           1 112.1505882   2.7367822  56.8930000          -1  56.8930000          -1   5.8619024 172.4385716 438.6000000  -1.1300000   4.4800000
2013-03-16T17:29:00Z 124.8000000   1.6094778           2           1 112.1505882   2.7387578  56.8930000          -1  56.8930000          -1   5.8972366 159.3338766 438.6000000  -1.1400000   4.4800000
