Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
      72      69
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  1.8000000000E+02 -8.5000000000E+01 -3.1980195882E+01  2.6121005823E+01  3.1369946359E+01 -5.2370970139E+00  8.8474987629E+00 -1.3923559354E+01 -4.4484694366E+00  2.3495777517E+01 -6.9573719170E-01 -2.7723597532E+01 -1.8765135211E+00  3.9821193895E+01  5.4289681008E+00 -4.3457569361E+00  6.1680490097E+00  8.0431456795E+01 -8.0498106728E+01
  1.8500000000E+02 -8.5000000000E+01 -3.1014626447E+01  2.6172258816E+01  3.2121249161E+01 -5.2356966323E+00  8.8633200037E+00 -1.3901894591E+01 -4.0787176232E+00  2.3243109389E+01 -6.6939030981E-01 -2.7149984096E+01 -1.6229994779E+00  4.0860307091E+01  5.4497719044E+00 -4.3111710983E+00  5.8322269706E+00  8.1080638995E+01 -8.0076450368E+01
  1.9000000000E+02 -8.5000000000E+01 -2.9984633108E+01  2.6316088652E+01  3.2769735428E+01 -5.2090043047E+00  8.8836965466E+00 -1.3886731811E+01 -3.6356935373E+00  2.2985412357E+01 -6.2600098212E-01 -2.6575614597E+01 -1.2636630796E+00  4.1813254349E+01  5.4356793313E+00 -4.2893571722E+00  5.4692138726E+00  8.1880037306E+01 -7.9664109885E+01
  1.9500000000E+02 -8.5000000000E+01 -2.8906773015E+01  2.6545530961E+01  3.3299140094E+01 -5.1597453389E+00  8.9068664693E+00 -1.3878146969E+01 -3.1290716461E+00  2.2720610987E+01 -5.6593712077E-01 -2.6001690479E+01 -8.0762483786E-01  4.2665222388E+01  5.3837344495E+00 -4.2743216575E+00  5.0780017965E+00  8.2809334981E+01 -7.9262964754E+01
  2.0000000000E+02 -8.5000000000E+01 -2.7809394750E+01  2.6848922192E+01  3.3699292600E+01 -5.0902308035E+00  8.9312609510E+00 -1.3876160575E+01 -2.5672326230E+00  2.2447002642E+01 -4.8971749518E-01 -2.5444755133E+01 -2.6795399014E-01  4.3399699955E+01  5.2928238093E+00 -4.2613874111E+00  4.6654707152E+00  8.3851295662E+01 -7.8874691348E+01
  2.0500000000E+02 -8.5000000000E+01 -2.6721531425E+01  2.7202239102E+01  3.3982389810E+01 -5.0024368465E+00  8.9555001592E+00 -1.3880742103E+01 -1.9575565321E+00  2.2163323781E+01 -3.9801042731E-01 -2.4929567820E+01  3.3674856745E-01  4.4022027469E+01  5.1680297738E+00 -4.2533334061E+00  4.2391148711E+00  8.4991237755E+01 -7.8500794619E+01
  2.1000000000E+02 -8.5000000000E+01 -2.5655900083E+01  2.7585781543E+01  3.4173562792E+01 -4.8980681119E+00  8.9783851498E+00 -1.3891810754E+01 -1.3066613400E+00  2.1868817323E+01 -2.9163124732E-01 -2.4466354125E+01  9.9427631810E-01  4.4553267932E+01  5.0151834943E+00 -4.2556972478E+00  3.8037368612E+00  8.6216595752E+01 -7.8142632620E+01
  2.1500000000E+02 -8.5000000000E+01 -2.4614073394E+01  2.7986809573E+01  3.4292728084E+01 -4.7786039055E+00  8.9988851244E+00 -1.3909236942E+01 -6.2058348915E-01  2.1563275948E+01 -1.7153725978E-01 -2.4052352421E+01  1.7009495261E+00  4.5009454264E+01  4.8374664211E+00 -4.2763010256E+00  3.3640480218E+00  8.7516557090E+01 -7.7801435502E+01
  2.2000000000E+02 -8.5000000000E+01 -2.3593051460E+01  2.8396957834E+01  3.4356391336E+01 -4.6453384398E+00  9.0161207290E+00 -1.3932844595E+01  9.5094016923E-02  2.1247039015E+01 -3.8819267051E-02 -2.3680096049E+01  2.4534053693E+00  4.5399606009E+01  4.6372890110E+00 -4.3196072797E+00  2.9284491897E+00  8.8881762702E+01 -7.7478320215E+01
  2.2500000000E+02 -8.5000000000E+01 -2.2585689945E+01  2.8812989681E+01  3.4384985380E+01 -4.4994088289E+00  9.0293526582E+00 -1.3962414727E+01  8.3515591015E-01  2.0920941904E+01  1.0531026689E-01 -2.3338923749E+01  3.2460740884E+00  4.5732052735E+01  4.4174867225E+00 -4.3833789691E+00  2.5100371056E+00  9.0304060333E+01 -7.7174301893E+01
  2.3000000000E+02 -8.5000000000E+01 -2.1583000625E+01  2.9238895510E+01  3.4401051451E+01 -4.3418214440E+00  9.0379643710E+00 -1.3997688651E+01  1.5946981557E+00  2.0586235142E+01  2.5953163458E-01 -2.3015616030E+01  4.0749541298E+00  4.6016181430E+01  4.1797386929E+00 -4.4602581331E+00  2.1230270374E+00  9.1776301125E+01 -7.6890302675E+01
  2.3500000000E+02 -8.5000000000E+01 -2.0570475314E+01  2.9689208863E+01  3.4417741653E+01 -4.1734701654E+00  9.0414504440E+00 -1.4038368820E+01  2.3690917515E+00  2.0244492558E+01  4.2243435230E-01 -2.2689565274E+01  4.9398540049E+00  4.6256316138E+01  3.9234683739E+00 -4.5365881434E+00  1.7773599833E+00  9.3292171441E+01 -7.6627158522E+01
  2.4000000000E+02 -8.5000000000E+01 -1.9533583385E+01  3.0178774991E+01  3.4435091607E+01 -3.9951515816E+00  9.0394031980E+00 -1.4084124468E+01  3.1539601080E+00  1.9897520783E+01  5.9253491967E-01 -2.2340534706E+01  5.8405581482E+00  4.6450307219E+01  3.6481427950E+00 -4.5987071374E+00  1.4763739360E+00  9.4846053291E+01 -7.6385624478E+01
  2.4500000000E+02 -8.5000000000E+01 -1.8461572329E+01  3.0715333289E+01  3.4441174137E+01 -3.8075809034E+00  9.0315045732E+00 -1.4134592715E+01  3.9451663655E+00  1.9547276556E+01  7.6829578890E-01 -2.1954297868E+01  6.7736545938E+00  4.6588473034E+01  3.3551400773E+00 -4.6371024345E+00  1.2189980292E+00  9.6432907930E+01 -7.6166378729E+01
  2.5000000000E+02 -8.5000000000E+01 -1.7350670297E+01  3.1298983495E+01  3.4423841572E+01 -3.6114001352E+00  9.0175124480E+00 -1.4189383996E+01  4.7388088386E+00  1.9195792604E+01  9.4814479593E-01 -2.1525145087E+01  7.7335901734E+00  4.6662490326E+01  3.0470660857E+00 -4.6479117301E+00  1.0025904459E+00  9.8048178193E+01 -7.5970025707E+01
  2.5500000000E+02 -8.5000000000E+01 -1.6201514745E+01  3.1926254610E+01  3.4370922680E+01 -3.4071913062E+00  8.9972541873E+00 -1.4248082985E+01  5.5312212662E+00  1.8845112748E+01  1.1304949465E+00 -2.1052242376E+01  8.7144133926E+00  4.6664333627E+01  2.7266976713E+00 -4.6305257187E+00  8.2417709073E-01  9.9687705954E+01 -7.5797098466E+01
  2.6000000000E+02 -8.5000000000E+01 -1.5020613601E+01  3.2591049762E+01  3.4272607610E+01 -3.1954820813E+00  8.9706194568E+00 -1.4310252520E+01  6.3189770534E+00  1.8497235092E+01  1.3137640279E+00 -2.0540248433E+01  9.7110657862E+00  4.6588254598E+01  2.3961398599E+00 -4.5878705734E+00  6.8084150409E-01  1.0134766176E+02 -7.5648060482E+01
  2.6500000000E+02 -8.5000000000E+01 -1.3816662463E+01  3.3286326195E+01  3.4121335498E+01 -2.9767580522E+00  8.9375507711E+00 -1.4375436291E+01  7.0988958566E+00  1.8154063716E+01  1.4963935138E+00 -1.9995822699E+01  1.0718942418E+01  4.6430667269E+01  2.0570224313E+00 -4.5242307100E+00  5.6971100558E-01  1.0302448423E+02 -7.5523307001E+01
  2.7000000000E+02 -8.5000000000E+01 -1.2601228178E+01  3.4002778247E+01  3.3909934492E+01 -2.7514673224E+00  8.8980418093E+00 -1.4443163529E+01  7.8680505383E+00  1.7817368817E+01  1.6768665387E+00 -1.9428690726E+01  1.1733190255E+01  4.6188588236E+01  1.7108793323E+00 -4.4458226338E+00  4.8764324618E-01  1.0471482724E+02 -7.5423166052E+01
  2.7500000000E+02 -8.5000000000E+01 -1.1390570545E+01  3.4727432684E+01  3.3634391445E+01 -2.5200283009E+00  8.8521288795E+00 -1.4512948097E+01  8.6237740717E+00  1.7488755731E+01  1.8537244114E+00 -1.8853673595E+01  1.2748434345E+01  4.5861681730E+01  1.3593572800E+00 -4.3618862719E+00  4.3193340119E-01  1.0641551316E+02 -7.5347899175E+01
  2.8000000000E+02 -8.5000000000E+01 -1.0204208969E+01  3.5446533373E+01  3.3298173479E+01 -2.2828381808E+00  8.7998899908E+00 -1.4584295163E+01  9.3636653755E+00  1.7169642782E+01  2.0255815364E+00 -1.8288670933E+01  1.3760189660E+01  4.5454943954E+01  1.0036347694E+00 -4.2831890604E+00  4.0194315055E-01  1.0812349084E+02 -7.5297701949E+01
  2.8500000000E+02 -8.5000000000E+01 -9.0604626516E+00  3.6150976444E+01  3.2911349756E+01 -2.0402797994E+00  8.7414409654E+00 -1.4656702018E+01  1.0085594067E+01  1.6861248961E+01  2.1911382815E+00 -1.7749243286E+01  1.4766874923E+01  4.4977975989E+01  6.4346636722E-01 -4.2185884049E+00  3.9893750394E-01  1.0983579698E+02 -7.5272704347E+01
  2.9000000000E+02 -8.5000000000E+01 -7.9743353122E+00  3.6837155370E+01  3.2485529273E+01 -1.7927262723E+00  8.6769334205E+00 -1.4729659914E+01  1.0787703884E+01  1.6564590747E+01  2.3491920393E+00 -1.7246558786E+01  1.5769642067E+01  4.4441679364E+01  2.7724586156E-01 -4.1740108642E+00  4.2431778264E-01  1.1154951996E+02 -7.5272970962E+01
