Adjusted F10.7 flux from the LASP penticton radio data

Downloaded from 1965/01/01 in csv format
https://lasp.colorado.edu/lisird/data/penticton_radio_flux/

Converted with IDL:
logfilename='penticton_radio_flux.csv'
read_log_data
jul2greg, wlog(*,0), month, day, year, hour, minute
openw,1,'f107new.txt'
for i=0,n_elements(year)-1 do $
   printf,1,year(i),month(i),day(i),hour(i),minute(i),wlog(i,1), $
   format='(i4,4i3,f7.1)'
close,1

year mo dy hr mn f107
#START
1966  3  6 16 48   75.4
1966  3  7 16 48   76.2
1966  3  8 16 48   76.4
1966  3  9 16 48   78.5
1966  3 10 16 48   78.5
1966  3 11 16 48   78.0
1966  3 12 16 48   78.3
1966  3 13 16 48   80.1
1966  3 14 16 48   81.4
1966  3 15 16 48   87.2
1966  3 16 16 48   92.9
1966  3 17 16 48  105.2
1966  3 18 16 48  109.6
1966  3 19 16 48  114.5
1966  3 20 16 48  111.0
1966  3 21 16 48  120.3
1966  3 22 16 48  105.1
1966  3 23 16 48   96.2
1966  3 24 16 48   93.0
1966  3 25 16 48   91.1
1966  3 26 16 48   84.6
1966  3 27 16 48   83.1
1966  3 28 16 48   87.6
1966  3 29 16 48   96.1
1966  3 30 16 48   99.0
1966  3 31 16 48  110.4
1966  4  1 16 48  106.8
1966  4  2 16 48  106.3
1966  4  3 16 48  102.1
1966  4  4 16 48  102.6
1966  4  5 16 48  102.0
1966  4  6 16 48  104.2
1966  4  7 16 48  102.8
1966  4  8 16 48  107.3
1966  4  9 16 48  100.4
1966  4 10 16 48   94.8
1966  4 11 16 48   93.9
1966  4 12 16 48   94.9
1966  4 13 16 48   93.1
1966  4 14 16 48   91.1
1966  4 15 16 48   96.4
1966  4 16 16 48   93.3
1966  4 17 16 48   95.3
1966  4 18 16 48   92.9
1966  4 19 16 48   89.0
1966  4 20 16 48   93.5
1966  4 21 16 48   91.7
1966  4 22 16 48   93.4
1966  4 23 16 48   98.9
1966  4 24 16 48  103.7
1966  4 25 16 48  103.9
1966  4 26 16 48  101.3
1966  4 27 16 48   96.9
1966  4 28 16 48   94.9
1966  4 29 16 48   94.5
1966  4 30 16 48   93.3
1966  5  1 16 48   91.7
1966  5  2 16 48   94.0
1966  5  3 16 48   93.9
1966  5  4 16 48   92.5
1966  5  5 16 48   88.5
1966  5  6 16 48   87.5
1966  5  7 16 48   89.8
1966  5  8 16 48   87.8
1966  5  9 16 48   87.6
1966  5 10 16 48   86.6
1966  5 11 16 48   88.4
1966  5 12 16 48   92.6
1966  5 13 16 48   92.9
1966  5 14 16 48   97.2
1966  5 15 16 48   99.3
1966  5 16 16 48  100.1
1966  5 17 16 48   98.9
1966  5 18 16 48   98.7
1966  5 19 16 48  107.1
1966  5 20 16 48  115.5
1966  5 21 16 48  123.6
1966  5 22 16 48  121.1
1966  5 23 16 48  113.9
1966  5 24 16 48  117.7
1966  5 25 16 48  115.1
1966  5 26 16 48  112.3
1966  5 27 16 48  108.4
1966  5 28 16 48  107.5
1966  5 29 16 48  106.0
1966  5 30 16 48  101.5
1966  5 31 16 48  105.6
1966  6  1 16 48  104.8
1966  6  2 16 48  103.9
1966  6  3 16 48  102.6
1966  6  4 16 48  102.0
1966  6  5 16 48  101.6
1966  6  6 16 48  101.9
1966  6  7 16 48   96.9
1966  6  8 16 48   99.5
1966  6  9 16 48   98.8
1966  6 10 16 48   96.8
1966  6 11 16 48   96.1
1966  6 12 16 48   95.9
1966  6 13 16 48   96.0
1966  6 14 16 48   96.9
1966  6 15 16 48   94.7
1966  6 16 16 48   97.9
1966  6 17 16 48   99.5
1966  6 18 16 48   98.2
1966  6 19 16 48   96.9
1966  6 20 16 48   94.3
1966  6 21 16 48   93.5
1966  6 22 16 48   96.1
1966  6 23 16 48   99.2
1966  6 24 16 48  103.5
1966  6 25 16 48  104.9
1966  6 26 16 48  105.5
1966  6 27 16 48  100.8
1966  6 28 16 48  101.4
1966  6 29 16 48   99.7
1966  6 30 16 48  100.7
1966  7  1 16 48  100.0
1966  7  2 16 48   98.2
1966  7  3 16 48   99.2
1966  7  4 16 48  104.8
1966  7  5 16 48  105.0
1966  7  6 16 48  109.7
1966  7  7 16 48  112.6
1966  7  8 16 48  114.3
1966  7  9 16 48  107.8
1966  7 10 16 48  108.1
1966  7 11 16 48  108.9
1966  7 12 16 48  102.7
1966  7 13 16 48  100.4
1966  7 14 16 48   99.8
1966  7 15 16 48  101.1
1966  7 16 16 48  102.8
1966  7 17 16 48  101.2
1966  7 18 16 48  101.3
1966  7 19 16 48  101.5
1966  7 20 16 48  101.8
1966  7 21 16 48  103.7
1966  7 22 16 48  106.5
1966  7 23 16 48  114.9
1966  7 24 16 48  120.6
1966  7 25 16 48  126.0
1966  7 26 16 48  127.6
1966  7 27 16 48  123.8
1966  7 28 16 48  124.2
1966  7 29 16 48  132.8
1966  7 30 16 48  128.0
1966  7 31 16 48  124.6
1966  8  1 16 48  125.9
1966  8  2 16 48  119.5
1966  8  3 16 48  118.2
1966  8  4 16 48  116.0
1966  8  5 16 48  110.5
1966  8  6 16 48  105.9
1966  8  7 16 48  101.5
1966  8  8 16 48   97.7
1966  8  9 16 48   96.4
1966  8 10 16 48   94.3
1966  8 11 16 48   92.5
1966  8 12 16 48   92.8
1966  8 13 16 48   93.2
1966  8 14 16 48   92.8
1966  8 15 16 48   93.6
1966  8 16 16 48   95.1
1966  8 17 16 48   96.7
1966  8 18 16 48   97.4
1966  8 19 16 48  100.0
1966  8 20 16 48  101.5
1966  8 21 16 48  102.7
1966  8 22 16 48  105.4
1966  8 23 16 48  114.7
1966  8 24 16 48  122.0
1966  8 25 16 48  126.2
1966  8 26 16 48  130.2
1966  8 27 16 48  133.4
1966  8 28 16 48  132.6
1966  8 29 16 48  129.8
1966  8 30 16 48  126.2
1966  8 31 16 48  120.9
1966  9  1 16 48  116.6
1966  9  2 16 48  106.2
1966  9  3 16 48  103.2
1966  9  4 16 48  101.9
1966  9  5 16 48  100.5
1966  9  6 16 48   97.9
1966  9  7 16 48   95.8
1966  9  8 16 48   96.2
1966  9  9 16 48   95.3
1966  9 10 16 48   93.9
1966  9 11 16 48   96.7
1966  9 12 16 48  100.8
1966  9 13 16 48  102.3
1966  9 14 16 48  107.2
1966  9 15 16 48  112.0
1966  9 16 16 48  124.6
1966  9 17 16 48  129.1
1966  9 18 16 48  142.6
1966  9 19 16 48  146.6
1966  9 20 16 48  146.1
1966  9 21 16 48  137.1
1966  9 22 16 48  131.5
1966  9 23 16 48  127.4
1966  9 24 16 48  126.0
1966  9 25 16 48  118.8
1966  9 26 16 48  109.4
1966  9 27 16 48  102.9
1966  9 28 16 48   97.9
1966  9 29 16 48   98.6
1966  9 30 16 48   95.6
1966 10  1 16 48  101.4
1966 10  2 16 48  102.0
1966 10  3 16 48  103.2
1966 10  4 16 48  100.6
1966 10  5 16 48  100.0
1966 10  6 16 48  101.9
1966 10  7 16 48  103.0
1966 10  8 16 48   99.4
1966 10  9 16 48  103.5
1966 10 10 16 48  106.5
1966 10 11 16 48  109.9
1966 10 12 16 48  114.8
1966 10 13 16 48  122.8
1966 10 14 16 48  120.2
1966 10 15 16 48  120.6
