Observation time: 1998.05.01_11:12:30
Central Carrington longitude: 135.1
B0 angle & Nmax:       -4.1948652          90
      23       5    -0.318250    0.0786307
      23       6     0.989060     0.884105
      23       7     -2.24172     -1.85024
      23       8     -1.22821   -0.0967151
      23       9   -0.0280015     0.590990
      23      10      1.74171      1.78780
      23      11      1.98480      1.76911
      23      12      1.29586     -2.13674
      23      13     -3.00871      2.94431
      23      14     0.297549     0.946768
      23      15      3.17736      3.53764
      23      16      1.79450     -1.48881
      23      17     -2.33706     -2.56004
      23      18     -6.71715      2.39703
      23      19     -3.91735     -2.04752
      23      20      2.10165      2.68219
      23      21     -1.77192     0.292185
      23      22      2.95753      4.07924
      23      23      1.75451    -0.214736
      24       0      1.01561      0.00000
      24       1      1.30524    -0.675934
      24       2     0.730133     -3.16065
      24       3   -0.0779951    -0.358876
      24       4     -1.14027     0.328610
      24       5      1.19338      2.06136
      24       6     0.129682    -0.453483
      24       7     0.575283     -1.09454
      24       8    -0.880844     0.496826
      24       9    -0.239045     -1.13316
      24      10    -0.326279      2.44306
      24      11     0.538113      2.50880
      24      12     -2.85290     0.136824
      24      13    -0.957101     -4.28908
      24      14     0.220900    -0.783030
      24      15    -0.908707      1.24352
      24      16     0.970100      4.12839
      24      17     -2.13353    -0.902359
      24      18      1.56036     -3.13122
      24      19   -0.0439993     -1.58891
      24      20      1.25502      3.21681
      24      21     -4.38535     -4.28767
      24      22     -4.22903     -4.70606
      24      23     -4.73364      4.20071
      24      24     -1.14122    -0.565835
      25       0    -0.855320      0.00000
      25       1      1.49810      1.52336
      25       2    -0.243833      1.75550
      25       3      2.09272      1.04865
      25       4     0.386134    -0.863919
      25       5     -2.19820     -1.28800
      25       6     -1.26338   -0.0530994
      25       7    -0.472169      1.33165
      25       8      2.29905     0.505392
      25       9      1.09692     -1.52049
      25      10     -1.72047     -2.47421
      25      11     -2.95211    -0.889833
      25      12     -1.44527     0.588807
      25      13      4.92748     -1.84040
      25      14      3.49265     -3.64739
      25      15     -1.04507    -0.228520
      25      16     -2.85722    -0.676290
      25      17     -1.97258      2.84671
      25      18      5.93772    -0.476623
      25      19      3.96364      2.82038
      25      20     -2.14222     -2.49864
      25      21     -4.24370      2.81657
      25      22      4.24287      3.81469
      25      23      2.74686    -0.660264
      25      24     0.357568    0.0275428
      25      25      1.68793      1.28700
      26       0     -1.41943      0.00000
      26       1     -2.78636     -1.58322
      26       2    -0.729599      2.17394
      26       3    -0.790974      1.60901
      26       4     -1.08531     0.427492
      26       5    -0.827984    -0.964442
      26       6    0.0991194    -0.962054
      26       7    -0.681864     -1.43657
      26       8     0.393668      1.03159
      26       9     0.258623      1.79844
      26      10      1.86118      1.13984
      26      11      1.62451     -2.73698
      26      12      1.39809    -0.316140
      26      13     -1.77715      3.09371
      26      14     -1.68847      2.81886
      26      15      2.79447      2.60088
      26      16     0.302660     -3.57359
      26      17      1.21166     -3.35395
      26      18     -3.64581      1.10041
      26      19     -4.10569      1.76459
      26      20     0.966931      1.84785
      26      21     -1.65349     -2.68995
      26      22      1.75035     -3.13913
      26      23     -3.48705      7.80002
      26      24     -2.53772     -2.53222
      26      25     -5.37561    -0.206537
      26      26    -0.738742    -0.219724
      27       0      1.92473      0.00000
      27       1     0.435784    -0.237782
      27       2     0.288638     -1.96374
      27       3    -0.711259     -1.00114
      27       4     -2.20947      1.05726
      27       5      2.53456      1.21354
      27       6      1.77165     0.509237
      27       7      2.66650    -0.563337
      27       8     -2.02347    -0.683119
      27       9     -2.52700      1.52290
      27      10    -0.515512      1.50628
      27      11     0.225089     -1.10368
      27      12    -0.120750     0.571881
      27      13     -1.66796    -0.508737
      27      14     -3.84497      2.63471
      27      15    -0.624637     -2.10935
      27      16      1.20596      1.68295
      27      17      2.89700     -1.13797
      27      18      2.02810     -2.27719
      27      19    0.0124809     0.719487
      27      20      2.17848     -2.62766
      27      21     0.627567    -0.217394
      27      22     0.609246     -3.40106
      27      23     -4.15500    -0.126065
      27      24     -1.52408     -2.07029
      27      25      7.26399      6.16846
      27      26     0.545796      1.71804
      27      27      1.51759     0.856115
      28       0     -1.28448      0.00000
      28       1      1.14104      2.32582
      28       2    -0.844256     0.127711
      28       3     0.168929     -1.56538
      28       4      1.92806    -0.715843
      28       5    -0.576903     -1.73935
      28       6    -0.490189     0.571835
      28       7    -0.782525      2.33892
