Coefficients order=90 center=CT2039:180
Observation time: 2006.02.01_14:17:32
B0 angle & Nmax:        0          90





Max Harmonic Order:90   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)
      23      21     -6.74495     0.763770
      23      22      5.20009     -2.31953
      23      23     -1.48356      2.88692
      24       0     0.424520      0.00000
      24       1     0.897710    -0.305361
      24       2    -0.706456    0.0728274
      24       3      1.90649     0.198660
      24       4    -0.780542    -0.572238
      24       5    -0.321633    0.0288604
      24       6    -0.894208     -1.16127
      24       7     -2.47686     -1.14219
      24       8    -0.669860      1.67073
      24       9     -1.64439     -1.46709
      24      10    -0.838185      2.27467
      24      11     0.315129     0.873668
      24      12     -1.10704      2.05892
      24      13    -0.358557      1.07247
      24      14     0.675461     -2.18714
      24      15     -2.22887     0.521041
      24      16     0.415466     0.657979
      24      17     -3.38363     0.719167
      24      18     -1.97140      3.22545
      24      19    -0.479179     -3.41239
      24      20     0.472419      3.13408
      24      21      5.15678    0.0218561
      24      22     -3.83867      4.14416
      24      23     0.742780     -6.39541
      24      24    -0.860958      1.98880
      25       0     0.457284      0.00000
      25       1   -0.0372724    -0.220091
      25       2    -0.626642     -1.64383
      25       3    -0.576200    -0.426486
      25       4     0.307624     -1.03054
      25       5    -0.968316    -0.745124
      25       6    0.0452263      1.28972
      25       7    -0.173662   -0.0822790
      25       8    -0.856129      2.39952
      25       9     0.296147      1.03954
      25      10    -0.410132     -1.51311
      25      11      1.49798     0.768471
      25      12      2.81656    -0.195081
      25      13     -1.00619    -0.134068
      25      14      1.67520    -0.311816
      25      15     -1.86453     -2.05792
      25      16  0.000779186     -1.32184
      25      17      2.09616    -0.952569
      25      18     -2.13715      1.32124
      25      19      1.33758      3.61612
      25      20     -3.73764     -3.89773
      25      21      1.98059    -0.963951
      25      22      3.95694     -3.35126
      25      23     -1.53107      5.01715
      25      24     -2.80263     -4.32864
      25      25      3.39164   -0.0445783
      26       0   -0.0182911      0.00000
      26       1     -1.52594    -0.104332
      26       2     0.237209    -0.376411
      26       3     -1.50009     -1.03935
      26       4     0.409386     0.853898
      26       5     0.632074     0.740811
      26       6     -1.59100   -0.0549191
      26       7      2.59423      1.03877
      26       8      1.37325     -1.37372
      26       9     0.511546      1.72957
      26      10     0.953714     -1.43223
      26      11     -1.55501     -1.66658
      26      12     0.760564    -0.347883
      26      13      1.33254     -2.38749
      26      14     -1.17016     0.134311
      26      15      1.80496      2.56586
      26      16     -1.61407    -0.887549
      26      17  -0.00687646      1.56246
      26      18      2.29892     -2.89158
      26      19      1.22379      2.42647
      26      20      2.03746    -0.235448
      26      21     -5.60410     -1.34849
      26      22    -0.715145    -0.991613
      26      23      1.14266     -4.06335
      26      24      3.64167      4.64559
