#COORD
GEO

Name	GEOLAT	GEOLON	MAGLAT	MAGLON
SOD	67.37	26.63	64.41	107.33
SOL	61.08	4.84	58.82	86.25
SON	25.12	66.44	19.36	139.81
SOR	70.54	22.22	67.8	106.04
SPG	60.54	29.72	57.26	106.73
SPT	39.55	355.65	31.31	72.25
T03	50.37	247.02	57.6	309.6
T16	39.19	240.2	44.77	304.51
T22	56.83	226.84	60.09	284.46
T25	45.14	241.07	51.06	303.96
T29	58.3	291.8	66.87	14.58
T31	56.5	280.8	66.31	358.08
T32	49.4	277.7	59.52	353.03
T36	54.71	246.69	61.95	307.91
T37	53.8	237.2	59.16	296.86
T38	61.0	224.8	63.93	280.33
T41	67.0	199.6	65.62	254.45
T43	50.9	245.7	57.9	307.83
T44	58.47	281.95	68.14	0.01
T45	55.28	282.24	65.01	0.17
T47	62.2	284.35	71.51	4.23
T48	54.8	293.19	63.16	15.78
T49	50.22	293.73	58.42	15.73
T50	48.65	287.55	57.83	7.18
T51	48.05	282.22	57.86	359.57
T52	53.79	282.38	63.54	0.26
T56	45.59	267.03	55.6	337.35
TAM	22.79	5.53	8.92	78.97
TAR	58.26	26.46	54.88	103.11
TDC	-37.1	347.69	-39.8	49.99
THL	77.47	290.77	84.72	29.24
THY	46.9	17.54	41.72	92.25
TIK	71.58	129.0	66.7	198.71
TIR	8.48	76.95	0.57	149.95
TRO	69.66	18.94	67.07	102.77
TSU	-19.22	17.7	-30.5	88.13
TUC	32.17	249.27	39.32	316.04
UPS	59.9	17.35	56.88	95.95
VAL	51.93	349.75	49.13	70.41
VIC	48.52	236.58	53.62	297.95
VIZ	79.48	76.98	74.7	156.12
VNA	-70.7	351.7	-60.63	41.78
VOS	-78.45	106.87	-83.54	54.41
VSS	-22.4	316.35	-18.53	23.72
WNG	53.75	9.07	50.15	86.75
YKC	62.48	245.52	69.42	303.15
STJ	47.6	307.32	52.6	31.64
PBK	70.1	170.9	65.94	231.26
TEO	19.75	260.82	28.8	330.63
AMD	69.5	61.4	65.85	138.2
NCK	47.63	16.72	42.6	91.68
A02	36.85	2.93	27.49	77.88
A08	7.0	125.4	-0.85	197.77
AAE	9.03	38.77	-0.06	111.51
ABG	18.62	72.87	11.99	146.22
AIA	-65.25	295.74	-50.99	9.72
ANC	-11.77	282.85	1.44	355.52
AQU	42.38	13.32	35.74	87.68
ASB	43.46	142.17	36.67	214.89
B07	-70.7	44.28	-68.45	72.51
B10	-77.32	39.71	-71.02	57.15
B11	-77.51	336.58	-63.96	30.69
B12	-79.08	335.88	-65.15	29.67
B14	-80.89	337.74	-66.7	29.35
B16	-82.78	347.06	-68.71	30.73
B18	-84.35	336.14	-69.45	26.33
B20	-85.36	95.98	-77.78	30.38
B21	-87.0	28.41	-73.53	29.34
B22	-86.51	68.17	-75.62	31.0
B23	-88.03	316.13	-72.34	20.41
C04	50.06	251.74	58.14	315.67
C08	45.87	264.92	55.72	334.31
C10	47.66	245.79	54.6	308.8
C11	48.03	263.64	57.76	332.31
CBI	27.15	142.3	19.58	214.6
CDO	8.4	124.63	0.61	197.02
CER	-33.45	289.4	-19.71	1.15
CUL	-30.28	149.58	-39.54	226.7
CY0	70.5	291.4	78.52	18.88
DAW	64.05	220.89	66.24	274.66
DES	-6.46	39.12	-16.19	111.84
DMC	-75.25	235.83	-65.48	345.3
DOU	50.1	4.6	45.76	81.91
EAG	64.78	218.8	66.59	272.2
ELT	29.67	34.95	22.59	107.23
ESA	39.24	141.36	32.24	214.11
ESC	-62.18	301.08	-48.41	12.07
EUS	-3.88	321.57	-6.82	35.01
EWA	21.32	202.0	20.88	270.9
FHB	62.0	310.32	67.41	39.05
FSJ	56.23	239.27	62.05	298.31
GCK	44.63	20.77	39.04	94.75
GHB	64.17	308.27	69.98	37.85
GNA	-31.8	116.0	-43.57	188.15
HOB	-42.88	147.35	-53.62	227.54
IGC	69.3	278.2	78.43	354.61
ILR	8.5	4.68	-6.67	77.65
ISL	53.86	265.34	63.7	334.21
IZN	40.5	29.73	34.7	102.63
KIR	67.84	20.42	65.14	102.62
KIV	50.72	30.3	46.56	104.63
KMH	-26.54	18.11	-36.25	86.27
KNZ	55.83	48.85	52.27	122.98
KRT	33.37	13.02	23.67	86.33
KUJ	33.06	131.23	26.2	204.41
KUV	74.57	302.82	80.69	41.92
LIV	-62.66	299.61	-48.75	11.31
LRV	64.18	338.3	65.01	66.72
LSK	-15.23	28.19	-26.04	99.88
LVV	49.9	23.75	45.49	98.46
M04	41.36	263.84	51.07	333.11
M05	38.5	263.7	48.18	333.09
MAB	50.3	5.68	45.98	82.86
MIZ	39.11	141.2	32.11	213.96
MLB	-38.36	145.18	-48.87	223.51
NMP	-15.09	39.25	-24.9	110.85
ONW	38.43	141.47	31.38	214.19
OSO	-40.34	286.91	-26.48	359.97
PAC	-40.34	289.91	-26.64	1.97
PAL	-64.77	295.95	-50.55	9.72
PEL	66.9	24.08	64.03	104.97
PTK	52.94	158.25	46.7	227.94
SCO	70.48	338.03	71.63	71.82
SHE	-15.95	354.27	-25.71	63.7
SKT	65.42	307.1	71.43	37.22
STF	67.02	309.28	72.64	40.87
SUA	45.32	26.25	40.18	99.92
T15	46.24	275.66	56.45	349.92
T21	43.08	257.41	51.96	324.31
T23	43.66	274.86	53.91	348.69
T28	53.3	299.5	60.49	23.61
T33	54.0	259.1	63.21	324.96
T35	63.6	249.1	71.1	307.36
T42	55.15	254.6	63.73	318.31
T58	37.42	237.83	42.49	302.41
T59	57.79	207.6	57.24	266.1
TAL	69.54	266.45	78.51	332.05
TRW	-43.25	294.68	-29.98	5.38
UMQ	70.68	307.87	76.38	42.58
UPN	72.78	303.85	78.93	40.2
VRE	-17.28	292.38	-4.53	3.97
WAD	51.9	256.1	60.7	321.13
WMQ	43.81	87.71	39.23	161.14
YAK	60.02	129.72	54.88	202.6
YAP	9.3	138.5	1.24	210.74
BET	66.9	208.32	66.88	261.49
GAK	62.3	214.7	63.27	270.05
KAV	70.07	216.63	71.48	265.64
PKR	65.08	212.74	65.78	266.56
T39	62.3	209.8	62.37	265.76
T24	44.78	271.4	55.0	343.69
BFO	48.33	8.33	43.41	84.57
BNG	4.33	18.57	-9.54	91.18
A03	3.87	11.52	-11.1	84.18
A04	14.28	39.46	5.78	112.06
ATU	67.93	306.43	73.99	38.19
B03	-67.57	291.88	-53.14	8.27
BIK	-1.08	136.05	-9.35	208.63
BOR	58.03	38.33	54.54	113.62
BRZ	56.21	24.75	52.66	100.97
CHC	64.1	276.8	73.72	351.93
CHD	70.62	147.89	65.67	214.11
CNH	44.08	124.86	38.25	198.74
DMH	76.77	341.37	77.34	84.38
GZH	23.09	113.34	16.29	186.21
HLN	23.9	121.55	16.95	194.43
HVD	48.01	91.67	43.69	165.26
JRS	0.0	281.70	12.1	354.64
KLD	54.5	20.2	50.79	96.48
M01	46.87	263.55	56.59	332.29
M08	29.44	261.39	38.74	330.65
ODE	46.22	30.88	41.46	104.42
P01	45.41	16.66	39.82	91.18
PHU	21.03	105.95	14.11	178.77
ROC	-23.19	150.31	-31.83	226.16
SUW	54.01	23.18	50.21	98.95
SVS	76.02	294.9	83.0	32.87
T17	44.95	287.87	54.06	7.22
T40	63.0	204.4	62.16	260.84
WHS	49.8	264.75	59.63	333.76
ZAG	50.28	20.58	45.89	95.7
FYU	66.57	214.7	67.65	267.17
A01	8.99	7.39	-6.22	80.26
SCN	-0.55	100.3	-9.39	172.94
AMA	28.17	129.33	21.14	202.31
B13	-80.0	77.0	-77.91	56.17
B19	-85.36	2.06	-71.39	30.41
B27	-81.0	3.0	-68.61	37.78
BGY	31.72	35.09	24.99	107.42
C05	52.03	264.54	61.84	333.22
CAN	-35.3	149.36	-45.01	227.65
CMD	-34.06	150.67	-43.5	228.85
CRP	10.44	275.09	21.63	347.42
DVS	-68.58	77.97	-74.97	100.76
HOR	77.0	15.6	74.52	108.72
LEM	-42.3	147.5	-52.95	227.53
LGZ	13.1	123.74	5.52	196.2
M06	35.0	262.6	44.52	331.84
M09	26.4	262.2	35.8	331.83
T19	47.61	245.33	54.45	308.26
T20	40.18	281.62	50.1	358.12
T57	38.25	255.39	46.7	322.36
HOV	61.5	353.2	60.26	77.18
PG5	-81.96	5.71	-69.46	37.17
T55	60.55	208.74	60.35	265.78
TAB	76.54	291.18	83.89	27.24
WIC	47.55	15.52	42.48	90.6
A06	5.33	355.87	-8.23	69.02
A07	9.58	346.34	-3.02	60.64
BCL	9.3	105.71	1.41	178.37
ICA	-14.08	284.25	-0.68	356.81
JYP	2.51	140.7	-5.66	213.19
LWA	-5.02	104.06	-14.09	176.69
NAB	-1.16	36.48	-11.15	109.37
PG3	-84.42	37.62	-73.43	37.95
T30	49.8	285.6	59.24	4.57
BRN	47.8	132.41	41.77	205.98
SUM	72.3	321.7	75.76	59.66
T54	39.1	283.15	48.87	0.16
T46	60.05	282.71	69.6	1.36
E05	36.72	22.95	29.37	95.78
LAN	54.01	357.23	51.1	77.12
LCL	51.0	252.9	59.29	316.99
SZC	52.91	19.61	48.97	95.51
T61	37.88	284.56	47.5	1.99
TWN	-19.27	146.82	-27.99	221.72
T53	60.82	281.85	70.39	0.08
MCM 	-77.85 	166.67 	-79.12 	285.19
SPA 	-90.0 	0.0 	-80.8 	0.0
C03 	58.77 	248.89 	65.2 	309.41
C09 	54.93 	264.71 	63.03 	330.66
PG4 	-83.34 	12.25 	-78.16 	34.54
T62 	65.9 	26.41 	62.84 	117.32
NR2 	60.5 	24.65 	57.96 	112.26
CPL 	17.3 	78.9 	9.06 	152.55
R01 	38.9 	267.78 	47.3 	337.33
R05 	41.58 	275.83 	50.37 	346.41
R07 	47.13 	266.34 	55.39 	334.46
R08 	44.33 	286.44 	53.33 	358.9
R09 	41.65 	287.28 	50.65 	359.91
GLK 	40.94 	44.47 	36.1 	123.43
WSE 	66.55 	33.1 	62.54 	123.37
TOP 	56.09 	13.18 	55.49 	99.35
R11 	44.3 	290.4 	53.29 	3.66
R13 	40.2 	256.3 	47.69 	324.06
Y01 	-31.8 	290.71 	-22.45 	3.09
Y02 	-26.84 	294.77 	-17.56 	6.95
Y09 	-16.47 	288.51 	-7.17 	1.12
Y10 	-11.95 	283.12 	-2.7 	355.85
Y12 	-12.04 	284.68 	-2.78 	357.38
Y13 	-12.04 	284.68 	-2.78 	357.38
Y14 	-14.09 	284.27 	-4.82 	357.0
Y15 	-11.95 	283.12 	-2.7 	355.85
Y16 	-14.83 	285.08 	-5.55 	357.79
Y17 	-5.17 	279.36 	3.97 	352.02
STT 	37.55 	351.27 	40.91 	70.84
