Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
      72      69
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  1.1500000000E+02 -8.5000000000E+01 -2.6154359213E+01  3.9179563117E+01  1.9995827896E+01 -3.9722519937E-01  9.6104348174E+00 -1.3754591330E+01  5.6811778594E+00  2.6060090265E+01  4.1246241872E-01 -3.4325317898E+01  1.0759260017E+01  2.5537356647E+01  2.8870060254E+00 -7.2502219829E+00  7.8006001606E+00  1.0283597599E+02 -8.5181702875E+01
  1.2000000000E+02 -8.5000000000E+01 -2.8587356775E+01  3.7372599181E+01  1.9929994835E+01 -1.2346650448E+00  9.6460491055E+00 -1.3677168201E+01  3.4257643193E+00  2.6425690541E+01  2.4903917762E-01 -3.4159433839E+01  8.1220728969E+00  2.5562641683E+01  3.3809777889E+00 -6.8212133628E+00  7.7954821752E+00  9.8042326111E+01 -8.5031043980E+01
  1.2500000000E+02 -8.5000000000E+01 -3.0709893087E+01  3.5781710353E+01  2.0335747758E+01 -2.0013255371E+00  9.6197563519E+00 -1.3601052355E+01  1.3928926325E+00  2.6563087252E+01  9.4186610375E-02 -3.3806597916E+01  5.9867049093E+00  2.6041895886E+01  3.7051377336E+00 -6.3878381593E+00  7.8007176162E+00  9.3765791761E+01 -8.4814964594E+01
  1.3000000000E+02 -8.5000000000E+01 -3.2500593006E+01  3.4296238191E+01  2.1113847507E+01 -2.6760870608E+00  9.5532296253E+00 -1.3526866453E+01 -3.5518294461E-01  2.6526851029E+01 -5.0667557512E-02 -3.3406546445E+01  4.2369891964E+00  2.6882626102E+01  3.9372234440E+00 -6.0208316596E+00  7.8087554150E+00  9.0096545567E+01 -8.4542735953E+01
  1.3500000000E+02 -8.5000000000E+01 -3.3942313715E+01  3.2901473017E+01  2.2141284912E+01 -3.2516985564E+00  9.4670158760E+00 -1.3455215503E+01 -1.7962022106E+00  2.6373598667E+01 -1.8417191267E-01 -3.3019995309E+01  2.7943480023E+00  2.7979687938E+01  4.1255823607E+00 -5.7334895280E+00  7.8009843893E+00  8.7058779658E+01 -8.4224171406E+01
  1.4000000000E+02 -8.5000000000E+01 -3.5032840396E+01  3.1626381071E+01  2.3343458020E+01 -3.7306629505E+00  9.3771362363E+00 -1.3386681748E+01 -2.9369552387E+00  2.6150725011E+01 -3.0506934759E-01 -3.2658340915E+01  1.6109855348E+00  2.9264234952E+01  4.2931187082E+00 -5.5124657109E+00  7.7709741629E+00  8.4629809413E+01 -8.3868677440E+01
  1.4500000000E+02 -8.5000000000E+01 -3.5769987445E+01  3.0494364102E+01  2.4684968724E+01 -4.1208946353E+00  9.2942758378E+00 -1.3321816205E+01 -3.8009774398E+00  2.5892477237E+01 -4.1221355778E-01 -3.2303485170E+01  6.4277681620E-01  3.0701709957E+01  4.4553698001E+00 -5.3351657886E+00  7.7172885307E+00  8.2759924982E+01 -8.3484734250E+01
  1.5000000000E+02 -8.5000000000E+01 -3.6141145644E+01  2.9515292017E+01  2.6124143175E+01 -4.4324538157E+00  9.2244794400E+00 -1.3261135964E+01 -4.4189425528E+00  2.5620736286E+01 -5.0458366600E-01 -3.1915482658E+01 -1.5612542748E-01  3.2256390006E+01  4.6257333817E+00 -5.1737982823E+00  7.6334728000E+00  8.1387781464E+01 -8.3079710806E+01
  1.5500000000E+02 -8.5000000000E+01 -3.6144386228E+01  2.8689633810E+01  2.7585443654E+01 -4.6755671819E+00  9.1703493220E+00 -1.3205120061E+01 -4.8226165852E+00  2.5347749064E+01 -5.8129653427E-01 -3.1455827839E+01 -8.1625198614E-01  3.3860801076E+01  4.8096253774E+00 -5.0122125897E+00  7.5110591730E+00  8.0450312630E+01 -8.2659883266E+01
  1.6000000000E+02 -8.5000000000E+01 -3.5817760922E+01  2.8015609651E+01  2.8978594595E+01 -4.8596328139E+00  9.1322063699E+00 -1.3154202545E+01 -5.0416853066E+00  2.5079100006E+01 -6.4161660934E-01 -3.0916439953E+01 -1.3400861027E+00  3.5433080061E+01  4.9999971522E+00 -4.8556106225E+00  7.3413336886E+00  7.9888182644E+01 -8.2230551324E+01
  1.6500000000E+02 -8.5000000000E+01 -3.5234700649E+01  2.7500725727E+01  3.0238460138E+01 -4.9928477522E+00  9.1089936356E+00 -1.3108770907E+01 -5.1024422650E+00  2.4816183159E+01 -6.8496303104E-01 -3.0317082861E+01 -1.7053648388E+00  3.6910362022E+01  5.1776722294E+00 -4.7190862291E+00  7.1218320547E+00  7.9648243363E+01 -8.1796186345E+01
  1.7000000000E+02 -8.5000000000E+01 -3.4483729132E+01  2.7147528065E+01  3.1340989768E+01 -5.0821634662E+00  9.0989098269E+00 -1.3069162911E+01 -5.0275148387E+00  2.4558001910E+01 -7.1091417426E-01 -2.9697012185E+01 -1.8940619201E+00  3.8261571661E+01  5.3229613579E+00 -4.6153217518E+00  6.8594951919E+00  7.9684226429E+01 -8.1360576701E+01
