Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
      72      69
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  1.2500000000E+02 -8.5000000000E+01 -3.0339142576E+01  3.5937354077E+01  1.9891780687E+01 -1.9602616622E+00  9.5596927007E+00 -1.3906464302E+01  1.4627130812E+00  2.6363136484E+01  9.9609777487E-02 -3.3433001262E+01  6.2765240073E+00  2.5909427788E+01  3.5914072662E+00 -6.2619991146E+00  7.7892074241E+00  9.3765791761E+01 -8.4814964594E+01
  1.3000000000E+02 -8.5000000000E+01 -3.2152710380E+01  3.4460920879E+01  2.0680110642E+01 -2.6327576437E+00  9.4975545853E+00 -1.3831807825E+01 -2.7205567210E-01  2.6338184759E+01 -4.4156038141E-02 -3.3069004433E+01  4.5312951407E+00  2.6755070418E+01  3.8211073697E+00 -5.9061136060E+00  7.8010040875E+00  9.0096545567E+01 -8.4542735953E+01
  1.3500000000E+02 -8.5000000000E+01 -3.3612147177E+01  3.3072056524E+01  2.1710960773E+01 -3.2072000718E+00  9.4150922789E+00 -1.3759732419E+01 -1.7027139730E+00  2.6196924596E+01 -1.7662889054E-01 -3.2711600954E+01  3.0880308584E+00  2.7849919122E+01  4.0093678218E+00 -5.6279912089E+00  7.7974029604E+00  8.7058779658E+01 -8.4224171406E+01
  1.4000000000E+02 -8.5000000000E+01 -3.4715989622E+01  3.1799582042E+01  2.2908064678E+01 -3.6859020353E+00  9.3282556310E+00 -1.3690823096E+01 -2.8357631697E+00  2.5986419345E+01 -2.9655813894E-01 -3.2373324146E+01  1.8996951234E+00  2.9124216441E+01  4.1789997291E+00 -5.4147880574E+00  7.7712294719E+00  8.4629809413E+01 -8.3868677440E+01
  1.4500000000E+02 -8.5000000000E+01 -3.5466310185E+01  3.0668564707E+01  2.4233789775E+01 -4.0765965686E+00  9.2477277487E+00 -1.3625633100E+01 -3.6943518040E+00  2.5740735157E+01 -4.0280149251E-01 -3.2039334363E+01  9.2541993410E-01  3.0541788193E+01  4.3439725510E+00 -5.2453181329E+00  7.7204361750E+00  8.2759924982E+01 -8.3484734250E+01
  1.5000000000E+02 -8.5000000000E+01 -3.5856241894E+01  2.9691573323E+01  2.5648933421E+01 -4.3891887234E+00  9.1795940161E+00 -1.3564681197E+01 -4.3087482312E+00  2.5481680975E+01 -4.9433947666E-01 -3.1673834336E+01  1.2361218828E-01  3.2069132815E+01  4.5155293959E+00 -5.0933138567E+00  7.6388212798E+00  8.1387781464E+01 -8.3079710806E+01
  1.5500000000E+02 -8.5000000000E+01 -3.5886642589E+01  2.8871395858E+01  2.7085213469E+01 -4.6337807221E+00  9.1265189792E+00 -1.3508447572E+01 -4.7103368083E+00  2.5221495843E+01 -5.7028765769E-01 -3.1240302601E+01 -5.3398656810E-01  3.3645184789E+01  4.6977775424E+00 -4.9426323964E+00  7.5187639086E+00  8.0450312630E+01 -8.2659883266E+01
  1.6000000000E+02 -8.5000000000E+01 -3.5592516902E+01  2.8206035153E+01  2.8459825507E+01 -4.8196745064E+00  9.0888935095E+00 -1.3457366916E+01 -4.9284624554E+00  2.4965783688E+01 -6.2990649087E-01 -3.0728758573E+01 -1.0518857750E+00  3.5194523117E+01  4.8843786324E+00 -4.7967562688E+00  7.3525757975E+00  7.9888182644E+01 -8.2230551324E+01
  1.6500000000E+02 -8.5000000000E+01 -3.5041611740E+01  2.7700438570E+01  2.9709382190E+01 -4.9549944059E+00  9.0657302684E+00 -1.3411826880E+01 -4.9891219469E+00  2.4715959157E+01 -6.7260854058E-01 -3.0155627685E+01 -1.4122119215E+00  3.6655894729E+01  5.0581322979E+00 -4.6690389333E+00  7.1379228815E+00  7.9648243363E+01 -8.1796186345E+01
  1.7000000000E+02 -8.5000000000E+01 -3.4318804157E+01  2.7355355847E+01  3.0807253209E+01 -5.0466374014E+00  9.0552930823E+00 -1.3372164942E+01 -4.9146871267E+00  2.4471030175E+01 -6.9796325974E-01 -2.9558167637E+01 -1.5994312210E+00  3.7996132179E+01  5.2006880079E+00 -4.5715361894E+00  6.8812492321E+00  7.9684226429E+01 -8.1360576701E+01
  1.7500000000E+02 -8.5000000000E+01 -3.3493398434E+01  2.7159613367E+01  3.1774776706E+01 -5.1003791885E+00  9.0555083843E+00 -1.3338665593E+01 -4.7241296310E+00  2.4228788504E+01 -7.0569942464E-01 -2.8970915453E+01 -1.6181930941E+00  3.9226546502E+01  5.3020258385E+00 -4.5064904269E+00  6.5925952215E+00  7.9956508397E+01 -8.0926955517E+01
  1.8000000000E+02 -8.5000000000E+01 -3.2589207469E+01  2.7099630039E+01  3.2642927527E+01 -5.1210321257E+00  9.0642187087E+00 -1.3311558357E+01 -4.4334458473E+00  2.3986547264E+01 -6.9570582323E-01 -2.8395792399E+01 -1.4880028466E+00  4.0371133645E+01  5.3610629038E+00 -4.4631330878E+00  6.2790580615E+00  8.0431456795E+01 -8.0498106728E+01
  1.8500000000E+02 -8.5000000000E+01 -3.1607976551E+01  2.7156728814E+01  3.3416210084E+01 -5.1126084679E+00  9.0793289273E+00 -1.3291019200E+01 -4.0561289296E+00  2.3741562704E+01 -6.6803062433E-01 -2.7820964336E+01 -1.2320922537E+00  4.1433901343E+01  5.3817251831E+00 -4.4320705634E+00  5.9413585653E+00  8.1080638995E+01 -8.0076450368E+01
  1.9000000000E+02 -8.5000000000E+01 -3.0558848500E+01  2.7309413996E+01  3.4081312075E+01 -5.0784680170E+00  9.0988849493E+00 -1.3277165704E+01 -3.6036196063E+00  2.3491256397E+01 -6.2288032477E-01 -2.7243354341E+01 -8.6750119750E-01  4.2406459300E+01  5.3665934643E+00 -4.4132261523E+00  5.5748988036E+00  8.1880037306E+01 -7.9664109885E+01
  1.9500000000E+02 -8.5000000000E+01 -2.9458915010E+01  2.7550214545E+01  3.4622732994E+01 -5.0214427858E+00  9.1211134448E+00 -1.3270062598E+01 -3.0857121452E+00  2.3233330385E+01 -5.6061896997E-01 -2.6664539991E+01 -4.0355346378E-01  4.3274311680E+01  5.3127799118E+00 -4.4006758213E+00  5.1791028818E+00  8.2809334981E+01 -7.9262964754E+01
  2.0000000000E+02 -8.5000000000E+01 -2.8336630048E+01  2.7866642104E+01  3.5030232061E+01 -4.9439362599E+00  9.1444347083E+00 -1.3269717936E+01 -2.5109099837E+00  2.2965846818E+01 -4.8176783278E-01 -2.6101472580E+01  1.4606667781E-01  4.4020781707E+01  5.2196887763E+00 -4.3897060998E+00  4.7609361221E+00  8.3851295662E+01 -7.8874691348E+01
  2.0500000000E+02 -8.5000000000E+01 -2.7221632653E+01  2.8233737118E+01  3.5315870012E+01 -4.8480049472E+00  9.1674592556E+00 -1.3276087643E+01 -1.8867280224E+00  2.2687310712E+01 -3.8700533024E-01 -2.5579702577E+01  7.6234653714E-01  4.4651256377E+01  5.0928028938E+00 -4.3833793872E+00  4.3277066080E+00  8.4991237755E+01 -7.8500794619E+01
  2.1000000000E+02 -8.5000000000E+01 -2.6127490961E+01  2.8631081888E+01  3.5505142984E+01 -4.7354236151E+00  9.1889801065E+00 -1.3289076413E+01 -1.2199376806E+00  2.2396755557E+01 -2.7716544942E-01 -2.5110053794E+01  1.4329977342E+00  4.5187270468E+01  4.9379241288E+00 -4.3876515092E+00  3.8841143785E+00  8.6216595752E+01 -7.8142632620E+01
  2.1500000000E+02 -8.5000000000E+01 -2.5056596305E+01  2.9045380560E+01  3.5618853626E+01 -4.6077329294E+00  9.2079602072E+00 -1.3308539329E+01 -5.1675033351E-01  2.2093801933E+01 -1.5323322564E-01 -2.4690029887E+01  2.1543258354E+00  4.5645476711E+01  4.7579168453E+00 -4.4107074149E+00  3.4351494698E+00  8.7516557090E+01 -7.7801435502E+01
  2.2000000000E+02 -8.5000000000E+01 -2.4006293466E+01  2.9467712317E+01  3.5674830015E+01 -4.4662808889E+00  9.2235157613E+00 -1.3334284313E+01  2.1705541334E-01  2.1778663334E+01 -1.6336201206E-02 -2.4312125969E+01  2.9226578782E+00  4.6035609364E+01  4.5550579784E+00 -4.4571246572E+00  2.9898411656E+00  8.8881762702E+01 -7.7478320215E+01
  2.2500000000E+02 -8.5000000000E+01 -2.2969206152E+01  2.9894524678E+01  3.5694922747E+01 -4.3122517886E+00  9.2349047764E+00 -1.3366075821E+01  9.7605159699E-01  2.1452097632E+01  1.3226802396E-01 -2.3965273871E+01  3.7319685883E+00  4.6366755527E+01  4.3322679110E+00 -4.5244463185E+00  2.5619750180E+00  9.0304060333E+01 -7.7174301893E+01
  2.3000000000E+02 -8.5000000000E+01 -2.1935858839E+01  3.0330119802E+01  3.5702884728E+01 -4.1466933665E+00  9.2415096695E+00 -1.3403638210E+01  1.7551095210E+00  2.1115323528E+01  2.9120726170E-01 -2.3635507488E+01  4.5780998109E+00  4.6648960717E+01  4.0912324943E+00 -4.6048132060E+00  2.1663549585E+00  9.1776301125E+01 -7.6890302675E+01
  2.3500000000E+02 -8.5000000000E+01 -2.0890986970E+01  3.0789899543E+01  3.5712406471E+01 -3.9705357070E+00  9.2428254837E+00 -1.3446656695E+01  2.5493693116E+00  2.0769923575E+01  4.5901258152E-01 -2.3301106810E+01  5.4609625681E+00  4.6886791585E+01  3.8312862352E+00 -4.6838120832E+00  1.8132589992E+00  9.3292171441E+01 -7.6627158522E+01
  2.4000000000E+02 -8.5000000000E+01 -1.9819285782E+01  3.1289627841E+01  3.5723323709E+01 -3.7846069901E+00  9.2384463576E+00 -1.3494783122E+01  3.3542231151E+00  2.0417747635E+01  6.3413766577E-01 -2.2940710744E+01  6.3804587156E+00  4.7077875669E+01  3.5518088375E+00 -4.7470248673E+00  1.5060934961E+00  9.4846053291E+01 -7.6385624478E+01
  2.4500000000E+02 -8.5000000000E+01 -1.8709436829E+01  3.1837560700E+01  3.5722825228E+01 -3.5896498729E+00  9.2280572439E+00 -1.3547637196E+01  4.1653079819E+00  2.0060824001E+01  8.1497951157E-01 -2.2539301833E+01  7.3330909489E+00  4.7211873047E+01  3.2542068956E+00 -4.7844114935E+00  1.2436098642E+00  9.6432907930E+01 -7.6166378729E+01
