PEDERSEN CONDUCTANCE COEFFICIENTS
From RIDLEY ET AL (2004)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
78.0	1.0	4.05	4.43	2.61	3.05	0.12	0.07
78.0	2.0	4.26	4.98	2.80	3.55	0.13	0.06
78.0	3.0	3.28	5.40	1.79	3.87	0.17	0.05
78.0	4.0	3.04	5.19	1.65	3.66	0.19	0.05
78.0	5.0	3.05	4.80	1.75	3.36	0.19	0.05
78.0	6.0	3.03	4.65	1.79	3.36	0.18	0.05
78.0	7.0	2.84	4.78	1.58	3.57	0.16	0.05
78.0	8.0	2.96	4.47	1.75	3.22	0.15	0.06
78.0	9.0	3.31	4.51	1.96	3.17	0.12	0.06
78.0	10.0	3.67	5.18	2.15	3.71	0.09	0.05
78.0	11.0	4.22	4.97	2.65	3.45	0.07	0.06
78.0	12.0	4.31	5.08	2.78	3.67	0.07	0.06
78.0	13.0	4.67	5.35	3.15	4.01	0.06	0.07
78.0	14.0	4.81	5.37	3.24	3.97	0.06	0.08
78.0	15.0	5.03	5.12	3.55	3.83	0.07	0.09
78.0	16.0	4.86	4.89	3.44	3.62	0.07	0.09
78.0	17.0	4.88	4.41	3.47	3.22	0.08	0.09
78.0	18.0	4.88	4.16	3.60	3.04	0.09	0.09
78.0	19.0	3.84	4.33	2.70	3.24	0.13	0.08
78.0	20.0	3.99	4.51	2.92	3.40	0.14	0.07
78.0	21.0	3.95	4.20	2.91	3.15	0.14	0.07
78.0	22.0	3.12	4.72	1.94	3.67	0.15	0.07
78.0	23.0	2.89	4.16	1.54	3.18	0.13	0.08
76.0	0.0	4.84	5.99	3.23	4.51	0.09	0.06
76.0	1.0	5.22	6.55	3.67	5.01	0.10	0.06
76.0	2.0	5.38	6.90	3.77	5.24	0.11	0.05
76.0	3.0	5.02	7.95	3.17	6.05	0.13	0.04
76.0	4.0	4.83	7.95	3.01	6.03	0.14	0.04
76.0	5.0	4.11	7.30	2.40	5.52	0.14	0.05
76.0	6.0	3.74	6.75	2.20	5.24	0.14	0.05
76.0	7.0	3.77	6.55	2.25	5.12	0.14	0.05
76.0	8.0	4.15	6.16	2.66	4.70	0.13	0.06
76.0	9.0	4.88	6.46	3.18	4.88	0.10	0.06
76.0	10.0	5.56	6.89	3.66	5.15	0.08	0.06
76.0	11.0	6.25	6.25	4.32	4.49	0.06	0.07
