HALL CONDUCTANCE COEFFICIENTS (Smoothed)
Conductance Model for Extreme Events (CMEE)
Developed by Agnit Mukhopadhyay (March 2019)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
80.0	7.00	4.33	5.83	2.43	4.08	0.07	0.06
80.0	8.00	4.23	5.73	2.55	3.93	0.06	0.06
80.0	9.00	4.26	6.35	2.56	4.65	0.10	0.07
80.0	10.00	4.38	6.38	2.81	4.81	0.11	0.08
80.0	11.00	5.25	7.00	3.69	5.54	0.11	0.10
80.0	12.00	5.05	7.23	3.52	5.71	0.11	0.08
80.0	13.00	5.97	6.61	4.48	5.13	0.08	0.09
80.0	14.00	6.16	7.04	4.54	5.42	0.09	0.08
80.0	15.00	6.10	6.60	4.50	5.00	0.07	0.08
80.0	16.00	7.00	6.17	5.30	4.46	0.06	0.04
80.0	17.00	7.25	6.44	6.18	4.43	0.08	0.07
80.0	18.00	6.88	5.99	4.71	3.92	0.10	0.08
80.0	19.00	5.73	6.23	4.69	4.23	0.13	0.10
80.0	20.00	4.83	5.62	2.65	3.63	0.14	0.10
80.0	21.00	4.52	6.41	3.10	4.98	0.14	0.09
80.0	22.00	3.99	5.11	2.57	3.68	0.15	0.09
80.0	23.00	4.62	5.62	3.44	4.56	0.15	0.10
78.0	0.00	7.77	7.40	5.14	5.32	0.10	0.08
78.0	1.00	8.88	9.38	6.84	7.34	0.10	0.07
78.0	2.00	7.37	9.90	5.11	7.90	0.10	0.06
78.0	3.00	7.26	9.95	5.33	8.00	0.12	0.06
78.0	4.00	5.50	10.74	3.68	8.76	0.16	0.05
78.0	5.00	4.78	9.71	2.78	7.57	0.15	0.05
78.0	6.00	4.91	10.09	2.40	7.80	0.08	0.07
78.0	7.00	5.41	8.99	2.83	6.41	0.06	0.04
78.0	8.00	5.77	9.27	3.24	6.74	0.06	0.06
78.0	9.00	6.97	9.28	4.62	6.92	0.07	0.04
78.0	10.00	8.48	9.98	6.37	7.87	0.08	0.07
78.0	11.00	9.37	10.87	7.46	8.96	0.09	0.07
78.0	12.00	8.93	10.77	7.17	8.86	0.09	0.07
78.0	13.00	10.17	11.41	8.02	9.27	0.08	0.07
78.0	14.00	11.31	10.62	9.12	8.44	0.10	0.09
78.0	15.00	11.33	10.14	8.88	7.56	0.09	0.09
78.0	16.00	10.21	10.44	7.60	7.83	0.08	0.07
78.0	17.00	9.81	9.23	7.30	6.50	0.06	0.08
78.0	18.00	9.12	9.62	5.91	6.58	0.10	0.08
78.0	19.00	9.41	8.93	6.56	6.15	0.08	0.08
78.0	20.00	8.58	8.56	5.23	5.22	0.09	0.08
78.0	21.00	7.70	8.93	5.11	6.33	0.09	0.07
78.0	22.00	7.28	8.78	4.79	6.11	0.10	0.07
78.0	23.00	7.53	8.65	5.30	6.44	0.11	0.08
76.0	0.00	9.37	10.87	5.56	7.50	0.08	0.07
76.0	1.00	11.09	11.59	7.90	8.64	0.08	0.06
76.0	2.00	10.56	13.06	7.30	10.20	0.08	0.04
76.0	3.00	10.48	13.73	7.89	11.13	0.09	0.04
76.0	4.00	8.01	14.51	5.29	11.79	0.09	0.04
76.0	5.00	6.60	14.10	3.75	11.25	0.09	0.04
76.0	6.00	7.04	13.27	3.55	10.12	0.07	0.05
76.0	7.00	7.48	12.62	4.03	9.17	0.04	0.04
76.0	8.00	8.48	11.98	4.97	8.46	0.04	0.06
76.0	9.00	9.43	11.93	5.90	8.40	0.04	0.04
76.0	10.00	10.50	12.01	7.14	8.84	0.05	0.06
76.0	11.00	12.74	12.24	9.95	9.27	0.07	0.05
76.0	12.00	12.90	11.15	10.31	8.56	0.06	0.06
76.0	13.00	12.43	11.03	9.90	8.26	0.09	0.07
76.0	14.00	13.89	10.62	11.14	7.87	0.10	0.10
76.0	15.00	14.07	10.57	10.76	7.25	0.08	0.10
76.0	16.00	14.19	10.69	10.37	6.66	0.09	0.10
76.0	17.00	14.20	10.35	10.06	6.20	0.06	0.07
76.0	18.00	12.91	11.04	8.39	6.52	0.07	0.08
76.0	19.00	12.63	12.68	8.48	8.53	0.06	0.07
76.0	20.00	10.84	11.85	6.14	7.13	0.06	0.06
76.0	21.00	10.51	12.01	6.33	7.82	0.06	0.06
76.0	22.00	10.42	11.92	6.56	8.06	0.07	0.06
76.0	23.00	9.89	11.15	6.33	7.58	0.08	0.06
74.0	0.00	22.40	23.64	17.51	18.75	0.07	0.05
74.0	1.00	23.30	21.51	19.24	17.45	0.07	0.04
74.0	2.00	21.31	21.30	17.42	17.61	0.07	0.04
74.0	3.00	21.10	20.78	17.77	17.25	0.07	0.04
74.0	4.00	19.75	18.51	16.21	14.98	0.06	0.04
74.0	5.00	11.23	16.04	7.48	12.30	0.08	0.04
74.0	6.00	11.75	14.87	7.30	10.42	0.07	0.04
74.0	7.00	9.61	14.43	4.74	9.56	0.08	0.04
74.0	8.00	10.25	13.45	4.78	7.98	0.05	0.05
74.0	9.00	11.95	13.75	6.33	8.47	0.06	0.05
74.0	10.00	12.94	13.38	7.85	8.29	0.06	0.05
74.0	11.00	12.60	12.70	8.18	8.67	0.04	0.05
74.0	12.00	12.57	12.04	9.40	8.86	0.05	0.04
74.0	13.00	12.29	10.39	9.00	7.10	0.06	0.05
