HALL CONDUCTANCE COEFFICIENTS
From RIDLEY ET AL (2004)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
66.0	6.0	28.36	23.87	19.60	16.08	0.04	0.06
66.0	7.0	26.70	22.83	19.52	16.43	0.05	0.07
66.0	8.0	20.01	18.45	14.40	13.18	0.06	0.07
66.0	9.0	14.19	14.02	9.80	9.27	0.09	0.06
66.0	10.0	11.53	11.63	7.21	7.24	0.11	0.07
66.0	11.0	11.86	9.22	7.31	5.04	0.11	0.09
66.0	12.0	12.66	10.28	7.45	5.92	0.09	0.08
66.0	13.0	14.53	10.62	8.75	5.85	0.09	0.07
66.0	14.0	16.10	12.75	10.54	7.72	0.13	0.05
66.0	15.0	14.10	13.17	9.33	8.65	0.08	0.04
66.0	16.0	12.21	11.52	8.01	7.79	0.05	0.05
66.0	17.0	11.75	9.98	8.23	6.64	0.07	0.05
66.0	18.0	14.48	12.36	10.86	8.93	0.04	0.04
66.0	19.0	15.22	13.58	11.04	9.70	0.04	0.05
66.0	20.0	19.16	13.75	14.08	9.27	0.04	0.05
66.0	21.0	26.95	17.27	20.72	11.60	0.03	0.05
66.0	22.0	27.56	20.38	20.94	13.89	0.03	0.04
66.0	23.0	27.99	22.68	20.93	15.94	0.04	0.05
64.0	0.0	32.02	25.53	22.55	17.37	0.04	0.07
64.0	1.0	27.01	21.21	18.47	13.21	0.05	0.06
64.0	2.0	25.53	18.28	18.10	9.74	0.05	0.06
64.0	3.0	24.77	16.92	17.52	9.23	0.05	0.07
64.0	4.0	25.20	16.22	16.08	7.56	0.04	0.03
64.0	5.0	24.29	17.81	14.39	8.29	0.04	0.04
64.0	6.0	22.13	19.32	14.00	10.51	0.05	0.03
64.0	7.0	19.31	15.43	13.26	8.87	0.06	0.05
64.0	8.0	14.71	11.30	10.15	6.40	0.08	0.06
64.0	9.0	11.35	8.72	7.67	4.35	0.14	0.07
64.0	10.0	10.72	7.84	6.69	3.75	0.16	0.06
64.0	11.0	10.38	7.91	6.10	3.77	0.18	0.07
64.0	12.0	10.20	9.45	5.56	5.43	0.20	0.07
64.0	13.0	9.89	10.33	5.00	6.33	0.25	0.07
64.0	14.0	8.21	12.06	3.61	7.88	0.28	0.05
64.0	15.0	7.55	11.89	3.15	7.72	0.13	0.04
64.0	16.0	7.45	11.93	3.18	7.79	0.13	0.04
64.0	17.0	9.04	10.54	5.00	6.75	0.12	0.04
64.0	18.0	10.88	11.88	7.12	8.06	0.10	0.03
64.0	19.0	11.37	11.56	7.05	7.64	0.07	0.04
64.0	20.0	16.06	12.64	10.34	8.14	0.05	0.05
64.0	21.0	25.96	16.24	18.12	10.28	0.03	0.06
64.0	22.0	29.29	21.75	19.79	13.97	0.04	0.06
64.0	23.0	30.12	25.23	19.59	16.42	0.04	0.06
62.0	0.0	28.60	20.41	17.71	10.34	0.04	0.10
62.0	1.0	24.92	17.99	14.32	8.12	0.05	0.12
62.0	2.0	24.42	16.96	14.37	6.91	0.05	0.10
62.0	3.0	23.95	15.54	14.42	6.46	0.05	0.08
62.0	4.0	22.28	13.80	12.35	4.24	0.04	0.05
62.0	5.0	19.10	13.11	9.96	3.88	0.05	0.08
62.0	6.0	15.81	12.56	8.81	4.61	0.06	0.05
62.0	7.0	13.01	9.61	7.72	3.72	0.13	0.07
62.0	8.0	13.35	8.02	8.47	3.37	0.12	0.10
62.0	9.0	11.88	7.49	7.60	3.17	0.15	0.13
62.0	10.0	10.84	7.79	6.68	3.57	0.18	0.09
62.0	11.0	10.13	7.99	5.90	3.78	0.20	0.07
62.0	12.0	9.62	8.73	5.21	4.57	0.23	0.07
62.0	13.0	9.12	9.28	4.52	5.12	0.27	0.06
