Equatorial Region (ABS(MLAT) < 15 degrees)
==========================================

***************************************************
Lower-band chorus
kp < 2
***************************************************

         MLT          L         B_wave^2
         (h)                    (pT^2)

      3.50000      6.95000      99999.0
      3.50000      7.05000      99999.0
      3.50000      7.15000      99999.0
      3.50000      7.25000      99999.0
      3.50000      7.35000      99999.0
      3.50000      7.45000      99999.0
      3.50000      7.55000      99999.0
      3.50000      7.65000      99999.0
      3.50000      7.75000      99999.0
      3.50000      7.85000      99999.0
      3.50000      7.95000      99999.0
      4.50000      1.05000      99999.0
      4.50000      1.15000      99999.0
      4.50000      1.25000      99999.0
      4.50000      1.35000      99999.0
      4.50000      1.45000      99999.0
      4.50000      1.55000      99999.0
      4.50000      1.65000      99999.0
      4.50000      1.75000      99999.0
      4.50000      1.85000      99999.0
      4.50000      1.95000      1.60083
      4.50000      2.05000      99999.0
      4.50000      2.15000     0.464042
      4.50000      2.25000      12.1222
      4.50000      2.35000      10.9876
      4.50000      2.45000      242.688
      4.50000      2.55000      26.3748
      4.50000      2.65000      11.5403
      4.50000      2.75000      2.97278
      4.50000      2.85000      1.92275
      4.50000      2.95000      1.99272
      4.50000      3.05000      2.75866
      4.50000      3.15000      1.42035
      4.50000      3.25000     0.890300
      4.50000      3.35000     0.587623
      4.50000      3.45000     0.465632
      4.50000      3.55000     0.586528
      4.50000      3.65000      1.10174
      4.50000      3.75000      1.32081
      4.50000      3.85000      1.37393
      4.50000      3.95000      18.6523
      4.50000      4.05000      4.69589
      4.50000      4.15000      10.6173
      4.50000      4.25000      10.4214
      4.50000      4.35000      5.90551
      4.50000      4.45000      4.59246
      4.50000      4.55000      2.15961
      4.50000      4.65000      5.40754
      4.50000      4.75000      9.76183
      4.50000      4.85000      15.7089
      4.50000      4.95000      17.4597
      4.50000      5.05000      16.6154
      4.50000      5.15000      18.4262
      4.50000      5.25000      37.7450
      4.50000      5.35000      23.2135
      4.50000      5.45000      40.4308
      4.50000      5.55000      81.6453
      4.50000      5.65000      20.3504
      4.50000      5.75000      78.8193
